Date,Name,Year,Letterboxd URI,Rating
2022-09-24,The Wind Rises,2013,https://boxd.it/4JQS,4.5
2022-09-27,Robots,2005,https://boxd.it/1Xve,3.5
2022-09-27,First Cow,2019,https://boxd.it/krga,3.5
2022-10-15,Tampopo,1985,https://boxd.it/1SZe,4.5
2022-10-15,Raging Bull,1980,https://boxd.it/28yI,4
2022-10-16,Triangle of Sadness,2022,https://boxd.it/hXlq,4.5
2022-10-16,"history of the entire world, i guess",2017,https://boxd.it/rQx0,4.5
2022-10-16,OPAL,2020,https://boxd.it/suy8,4.5
2022-11-06,Princess Mononoke,1997,https://boxd.it/2b4w,4.5
2022-11-21,Singin' in the Rain,1952,https://boxd.it/29oY,5
2022-11-21,Black Panther: Wakanda Forever,2022,https://boxd.it/igPu,3.5
2022-11-21,The Banshees of Inisherin,2022,https://boxd.it/p7XS,4
2022-12-02,After Yang,2021,https://boxd.it/lx5a,4
2022-12-25,Glass Onion,2022,https://boxd.it/oCkK,2
2022-12-29,Babylon,2022,https://boxd.it/mM02,4
2023-01-03,This Place Rules,2022,https://boxd.it/CJGm,5
2023-01-16,Reservoir Dogs,1992,https://boxd.it/2agc,4
2023-01-20,The Pez Outlaw,2022,https://boxd.it/zd6g,4.5
2023-03-05,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-03-25,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,4
2023-04-24,Beau Is Afraid,2023,https://boxd.it/u2gE,4
2023-06-03,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2023-06-04,Batman,1989,https://boxd.it/2aIU,4
2023-07-24,Barbie,2023,https://boxd.it/bCLK,4.5
2023-07-25,Oppenheimer,2023,https://boxd.it/wUow,4.5
2023-11-11,The Holdovers,2023,https://boxd.it/vHza,4.5
2023-11-25,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4.5
2023-12-10,The Boy and the Heron,2023,https://boxd.it/ipeM,5
2024-01-07,Castle in the Sky,1986,https://boxd.it/1W4G,4
2024-01-19,Oldboy,2003,https://boxd.it/29R2,4.5
2024-01-26,Egghead & Twinkie,2023,https://boxd.it/snDU,4
2024-01-27,Society of the Snow,2023,https://boxd.it/y9aw,5
2024-01-28,The Zone of Interest,2023,https://boxd.it/gJsA,4.5
2024-02-03,Poor Things,2023,https://boxd.it/tNWU,4
2024-03-05,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-03-30,Dream Scenario,2023,https://boxd.it/v2h0,4
2024-05-11,All That Jazz,1979,https://boxd.it/1JB8,4.5
2024-05-11,Perfect Days,2023,https://boxd.it/ATh8,5
2024-06-03,Anatomy of a Fall,2023,https://boxd.it/yuDE,4.5
2024-06-03,American Fiction,2023,https://boxd.it/DYHm,4
2024-06-03,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4
2024-07-21,Longlegs,2024,https://boxd.it/KzLM,2.5
2024-07-27,Despicable Me 4,2024,https://boxd.it/iOLG,1
2024-09-07,Challengers,2024,https://boxd.it/zld0,4.5
2024-11-07,A Real Pain,2024,https://boxd.it/CjNG,3.5
2024-11-07,The Brutalist,2024,https://boxd.it/k4BO,4.5
2024-11-07,Eraserhead,1977,https://boxd.it/299u,4
2024-11-13,Conclave,2024,https://boxd.it/AO8q,4
2024-11-15,Police Story,1985,https://boxd.it/1Zhe,3.5
2024-11-17,One Piece: Baron Omatsuri and the Secret Island,2005,https://boxd.it/Reu,4
2024-11-28,Beetlejuice Beetlejuice,2024,https://boxd.it/yyGs,1.5
2024-12-24,The Remarkable Life of Ibelin,2024,https://boxd.it/Iftk,4.5
2024-12-25,The Substance,2024,https://boxd.it/zanS,4
2025-01-21,Hundreds of Beavers,2022,https://boxd.it/CyUM,4.5
