Date,Name,Year,Letterboxd URI
2021-10-27,Ghost in the Shell,1995,https://boxd.it/1YYc
2021-10-27,The Suicide Squad,2021,https://boxd.it/fw6O
2021-10-27,In the Heights,2021,https://boxd.it/gLhu
2021-10-27,Cruella,2021,https://boxd.it/bbKg
2021-10-27,WandaVision,2021,https://boxd.it/sbGW
2021-10-27,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0
2021-10-27,The Lion King,2019,https://boxd.it/eSjI
2021-10-27,Rocketman,2019,https://boxd.it/iehK
2021-10-27,Bohemian Rhapsody,2018,https://boxd.it/f1TK
2021-10-27,A Star Is Born,2018,https://boxd.it/aXgc
2021-10-27,To All the Boys I've Loved Before,2018,https://boxd.it/gHec
2021-10-27,Crazy Rich Asians,2018,https://boxd.it/gfnK
2021-10-27,Ant-Man and the Wasp,2018,https://boxd.it/cqUW
2021-10-27,Incredibles 2,2018,https://boxd.it/7IPg
2021-10-27,Ready Player One,2018,https://boxd.it/aZes
2021-10-27,"Love, Simon",2018,https://boxd.it/g02s
2021-10-27,Black Panther,2018,https://boxd.it/8MHs
2021-10-27,Happy Death Day,2017,https://boxd.it/fDz4
2021-10-27,Kingsman: The Golden Circle,2017,https://boxd.it/buJm
2021-10-27,Wonder Woman,2017,https://boxd.it/9roG
2021-10-27,The Disaster Artist,2017,https://boxd.it/cTqc
2021-10-27,Hidden Figures,2016,https://boxd.it/dgS4
2021-10-27,Passengers,2016,https://boxd.it/8lFu
2021-10-27,Moana,2016,https://boxd.it/8tfY
2021-10-27,Finding Dory,2016,https://boxd.it/4aAA
2021-10-27,Now You See Me 2,2016,https://boxd.it/99fw
2021-10-27,10 Cloverfield Lane,2016,https://boxd.it/aZiu
2021-10-27,The Martian,2015,https://boxd.it/8SeG
2021-10-27,Ant-Man,2015,https://boxd.it/3vmW
2021-10-27,The Interview,2014,https://boxd.it/6KQ4
2021-10-27,Kingsman: The Secret Service,2014,https://boxd.it/6dxe
2021-10-27,Paddington,2014,https://boxd.it/3RKw
2021-10-27,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka
2021-10-27,Big Hero 6,2014,https://boxd.it/5rje
2021-10-27,The Maze Runner,2014,https://boxd.it/5YPM
2021-10-27,The Theory of Everything,2014,https://boxd.it/7YtA
2021-10-27,Maleficent,2014,https://boxd.it/3v1u
2021-10-27,The Fault in Our Stars,2014,https://boxd.it/6BQa
2021-10-27,Divergent,2014,https://boxd.it/4VT0
2021-10-27,Captain America: The Winter Soldier,2014,https://boxd.it/3r58
2021-10-27,Chef,2014,https://boxd.it/6lCG
2021-10-27,Frozen,2013,https://boxd.it/3GNa
2021-10-27,Gravity,2013,https://boxd.it/GZY
2021-10-27,Despicable Me 2,2013,https://boxd.it/3gg0
2021-10-27,Monsters University,2013,https://boxd.it/bQm
2021-10-27,The Purge,2013,https://boxd.it/4Xg0
2021-10-27,Now You See Me,2013,https://boxd.it/2Bsu
2021-10-27,Les Misérables,2012,https://boxd.it/2TT4
2021-10-27,Life of Pi,2012,https://boxd.it/37pC
2021-10-27,Wreck-It Ralph,2012,https://boxd.it/2TTS
2021-10-27,Pitch Perfect,2012,https://boxd.it/3OsE
2021-10-27,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8
2021-10-27,Brave,2012,https://boxd.it/bVG
2021-10-27,The Hunger Games,2012,https://boxd.it/2uds
2021-10-27,The Adventures of Tintin,2011,https://boxd.it/1Irc
2021-10-27,The Help,2011,https://boxd.it/EDm
2021-10-27,Captain America: The First Avenger,2011,https://boxd.it/28b0
